Name,University,Year
Davis Martin D.,New York University - Courant Institute,2013
Davis Michael W.,Ohio State University - Columbus,2015
Dawson Donald A.,Carleton University,2013
de Branges de Bourcia Louis,Purdue University,2013
De Cataldo Mark Andrea,Stony Brook University,2019
de Fernex Tommaso,University of Utah,2019
de Pillis Lisette,Harvey Mudd College,2016
Deift Percy,New York University - Courant Institute,2013
Delbaen Freddy,Eidgenössische Technische Hochschule Zürich (ETH Zürich),2013
DeLoera Jesus A.,University of California - Davis,2015
DeMarco Laura,University of Illinois at Chicago,2013
Demmel James W.,University of California - Berkeley,2013
Demyanov Vladimir F.*,Saint Petersburg State University,2013
den Hollander Frank,Mathematical Institute - Leiden University,2013
Dencker Nils,Lund University,2013
Deninger Christopher,Westfälische Wilhelms-Universität Münster,2013
Dennis R. Keith,Cornell University,2013
Derksen Harm,Northeastern University,2022
DeTurck Dennis,University of Pennsylvania,2013
Devadoss Satyan L.,Williams College,2013
Devaney Robert L.,Boston University,2013
Devlin Keith,Stanford University,2013
DeVore Ronald A.,Texas A&M University,2013
Diaconis Persi W.,Stanford University,2013
Diamond Harold G.,University of Illinois - Urbana-Champaign,2013
Dickenstein Alicia,University of Buenos Aires,2019
Dijkgraaf Robbert,Institute for Advanced Study,2013
do Carmo Manfredo P.*,Instituto de Matematica Pura e Aplicada (IMPA),2013
Donagi Ron Y.,University of Pennsylvania,2013
Donaldson Simon,Imperial College,2013
Donnelly Harold Gerard,Purdue University,2013
Donoho David L.,Stanford University,2013
Doplicher Sergio,Sapienza - Università di Roma,2013
Dorff Michael,Brigham Young University,2013
Douglas Jr.,Purdue University,2013
Douglas Michael R.,Stony Brook University,2013
Douglas Ronald G.*,Texas A&M University,2013
Downey Rodney G.,Victoria University of Wellington,2013
Dranishnikov Alexander,University of Florida,2013
Driver Bruce K.,University of California - San Diego,2013
Du Qiang,Columbia University,2020
du Sautoy Marcus,University of Oxford,2013
Duchin Moon,Tufts University,2017
Dudley Richard M.*,Massachusetts Institute of Technology,2013
Duke William,University of California - Los Angeles,2016
Dumitriu Ioana,University of Washington,2013
Dunfield Nathan M.,University of Illinois - Urbana-Champaign,2013
Dupuis Paul,Brown University,2015
Duren Peter*,University of Michigan,2013
Durfee Alan,Mount Holyoke College,2013
Durrett Richard,Duke University,2013
Dwyer William G.,University of Notre Dame,2013
Dykema Kenneth J.,Texas A&M University,2020
Dynkin Eugene B.*,Cornell University,2013
E Weinan,Princeton University,2013
Earle Jr.,Cornell University,2013
Eastwood Michael,Australian National University,2013
Ebenfelt Peter,University of California - San Diego,2018
Eberlein Patrick,University of North Carolina at Chapel Hill,2013
Ebin David G.,Stony Brook University,2013
Eckmann Jean-Pierre,Université de Genève,2013
Edelman Alan,Massachusetts Institute of Technology,2015
Edwards C. Henry,University of Georgia,2013
Edwards Harold M.*,New York University - Courant Institute,2013
Edwards Robert D.,University of California - Los Angeles,2013
Efendiev Yalchin,Texas A&M University,2017
Effros Edward G.*,University of California - Los Angeles,2014
Ein Lawrence,University of Illinois at Chicago,2013
Eisenbud David,University of California - Berkeley,2013
Eisenträger Kirsten,Pennsylvania State University,2017
Eliashberg Yakov,Stanford University,2013
Ellenberg Jordan S.,University of Wisconsin - Madison,2013
Ellingham Mark N.,Vanderbilt University,2013
Elliott George Arthur,University of Toronto,2013
Ellis Robert*,University of Minnesota-Twin Cities,2013
Elman Richard S.,University of California - Los Angeles,2013
Engl Heinz W.,Universität Wien,2013
Epstein Charles L.,University of Pennsylvania,2015
Epstein David B.A.,University of Warwick,2013
Erdös László,Institute of Science and Technology - Austria,2022
Eremenko Alexandre,Purdue University,2014
Eskin Alex,University of Chicago,2013
Eskin Gregory I.,University of California - Los Angeles,2014
Etingof Pavel,Massachusetts Institute of Technology,2013
Etnyre John,Georgia Institute of Technology,2013
Evans Lawrence C.,University of California - Berkeley,2013
Evans Steven N.,University of California - Berkeley,2013
Ewing John H.,Math for America,2013
Fadell Edward*,University of Wisconsin - Madison,2013
Falk Richard S.,Rutgers The State University of New Jersey New Brunswick,2019
Faraut Jacques,Université Pierre et Marie Curie (Paris VI),2013
Farb Benson,University of Chicago,2013
Fauci Lisa J.,Tulane University,2020
Feehan Paul M. N.,Rutgers The State University of New Jersey New Brunswick,2019
Feferman Solomon*,Stanford University,2013
Fefferman Robert,University of Chicago,2022
Feighn Mark,Rutgers The State University of New Jersey Newark,2017
Fein Burton,Oregon State University,2013
Felder Giovanni,Eidgenössische Technische Hochschule Zürich (ETH Zürich),2013
Feng Zhilan,Purdue University and National Science Foundation,2022
Ferguson Samuel L.P.,National Security Agency,2013
Fernandes Rui Loja,University of Illinois - Urbana-Champaign,2017
Ferrini-Mundy Joan,National Science Foundation,2018
Ferry Steven C.,Rutgers The State University of New Jersey New Brunswick,2014
Field Michael,Rice University,2013
Fife Paul*,University of Utah,2013
Figiel Tadeusz,Polish Academy of Sciences,2013
